group,n,prevalence,auroc,ece,ece_ci_lo,ece_ci_hi,group_var,model,recal,seed
Other,1437,0.10368823938761308,0.8826910250531494,0.016525895460795546,0.01098920954406753,0.03317849226417769,insurance_group,xgb,none,0
18-44,585,0.08034188034188035,0.9269160800442933,0.02757765819944379,0.01926777357093437,0.04920967730030722,age_band,xgb,temperature,0
45-64,1601,0.11242973141786383,0.8887207756665885,0.013863998359309349,0.011565502814209233,0.030353988996813512,age_band,xgb,temperature,0
65-79,1570,0.14267515923566879,0.873739651878582,0.015036910215989765,0.012867238342255413,0.035659651915344495,age_band,xgb,temperature,0
80+,916,0.18777292576419213,0.839702113028257,0.038964803459542945,0.028624603097082115,0.06258691264808462,age_band,xgb,temperature,0
F,2002,0.13636363636363635,0.8757332892671239,0.011773195114524078,0.009564676036385384,0.026596380726059923,sex,xgb,temperature,0
M,2670,0.13108614232209737,0.8779396551724138,0.014219157392650384,0.010949626817595376,0.027727056795207095,sex,xgb,temperature,0
Asian,157,0.14012738853503184,0.8848484848484848,0.04799022978679084,0.029883876451036028,0.09461855478377693,ethnicity_group,xgb,temperature,0
Black,413,0.10653753026634383,0.8965878295146589,0.03504725298601832,0.0242570715499551,0.0632366176683405,ethnicity_group,xgb,temperature,0
Hispanic,178,0.11797752808988764,0.8835304822565969,0.037536049786647284,0.02714071976717101,0.08722097053505415,ethnicity_group,xgb,temperature,0
Other,944,0.1832627118644068,0.9114055014507096,0.041699394844078044,0.030197224539494926,0.06129923756609259,ethnicity_group,xgb,temperature,0
White,2980,0.12181208053691275,0.8562608753319839,0.013645783768273086,0.010796828030088999,0.028139582168342066,ethnicity_group,xgb,temperature,0
Medicaid,681,0.11747430249632893,0.8688643926788686,0.026829171301222803,0.016322715395552707,0.05018188177440249,insurance_group,xgb,temperature,0
Medicare,2554,0.15426781519185592,0.8749001222034216,0.015386194665750145,0.011115967241012227,0.031007948813838226,insurance_group,xgb,temperature,0
