model,recal,seed,coverage,risk,auroc
lr,none,0,1.0,0.1115154109589041,0.8581537482056685
lr,none,0,0.9805222602739726,0.10368915084042786,0.8516195603724516
lr,none,0,0.9612585616438356,0.09730572255622356,0.8481508829635738
lr,none,0,0.9417808219178082,0.08977272727272727,0.8421693132078435
lr,none,0,0.9225171232876712,0.08329466357308585,0.8392881238341612
lr,none,0,0.9030393835616438,0.07679544915856838,0.8353230975940881
lr,none,0,0.8837756849315068,0.07096149188665536,0.8272775705913692
lr,none,0,0.8642979452054794,0.06835066864784546,0.8261683268463849
lr,none,0,0.844820205479452,0.06409931593615405,0.8171667926758261
lr,none,0,0.825556506849315,0.05963183821623023,0.8057556083773844
lr,none,0,0.8060787671232876,0.05735528412108338,0.8010419934469658
lr,none,0,0.7868150684931506,0.05413492927094668,0.7985987714471322
lr,none,0,0.7673373287671232,0.05104602510460251,0.790851958113332
lr,none,0,0.7478595890410958,0.04779622209502003,0.7889548786097773
lr,none,0,0.728595890410959,0.04406580493537015,0.7816583968994544
lr,none,0,0.7091181506849316,0.041352248717174765,0.7803384065490604
lr,none,0,0.6898544520547946,0.040955631399317405,0.7812940872182337
lr,none,0,0.6703767123287672,0.03991060025542784,0.7838162811880175
lr,none,0,0.6511130136986302,0.03714661406969099,0.7829074289473995
lr,none,0,0.6316352739726028,0.03490342256862081,0.7750204112125594
lr,none,0,0.6121575342465754,0.033216783216783216,0.7747241086587435
lr,none,0,0.5928938356164384,0.03176895306859206,0.773608450012282
lr,none,0,0.573416095890411,0.029115341545352745,0.7636774106012181
lr,none,0,0.554152397260274,0.02742371572035535,0.763947386014173
lr,none,0,0.5346746575342466,0.026821457165732587,0.7653792912513844
lr,none,0,0.5154109589041096,0.025332225913621262,0.760470188536795
lr,none,0,0.4959332191780822,0.025463962019853258,0.7739271345552079
lr,none,0,0.4764554794520548,0.023809523809523808,0.7722006248051461
lr,none,0,0.4571917808219178,0.02294007490636704,0.775294402093526
lr,none,0,0.4377140410958904,0.021515892420537898,0.7772892540803742
lr,none,0,0.4184503424657534,0.019437340153452685,0.7693805010155721
lr,none,0,0.398972602739726,0.018240343347639486,0.7675827087591793
lr,none,0,0.3794948630136986,0.01692047377326565,0.7681886541258846
lr,none,0,0.3602311643835616,0.016042780748663103,0.7665484968803176
lr,none,0,0.3407534246575342,0.01193467336683417,0.7315717038260391
lr,none,0,0.3214897260273973,0.009986684420772303,0.6985733695652174
lr,none,0,0.3020119863013699,0.010630758327427357,0.7094617426985277
lr,none,0,0.2827482876712329,0.011355034065102196,0.712020924522259
lr,none,0,0.2632705479452055,0.012195121951219513,0.7267794079646271
lr,none,0,0.2437928082191781,0.012291483757682178,0.7334126269769834
lr,none,0,0.2245291095890411,0.01334604385128694,0.7312955861342958
lr,none,0,0.2050513698630137,0.014613778705636743,0.7437942122186496
lr,none,0,0.1857876712328767,0.014976958525345621,0.7584913112164298
lr,none,0,0.1663099315068493,0.014157014157014158,0.7396961690885073
lr,none,0,0.1468321917808219,0.016034985422740525,0.7724474474474474
lr,none,0,0.12756849315068494,0.016778523489932886,0.7911380238369857
lr,none,0,0.10809075342465753,0.015841584158415842,0.8052147239263804
lr,none,0,0.08882705479452055,0.016867469879518072,0.8145809414466131
lr,none,0,0.06934931506849315,0.015432098765432098,0.8480975893116468
lr,none,0,0.05008561643835616,0.008547008547008548,0.8805309734513275
lr,temperature,0,1.0,0.1115154109589041,0.8581537482056685
lr,temperature,0,0.9805222602739726,0.10368915084042786,0.8516195603724516
lr,temperature,0,0.9612585616438356,0.09730572255622356,0.8481508829635738
lr,temperature,0,0.9417808219178082,0.08977272727272727,0.8421693132078435
lr,temperature,0,0.9225171232876712,0.08329466357308585,0.8392881238341612
lr,temperature,0,0.9030393835616438,0.07679544915856838,0.8353230975940881
lr,temperature,0,0.8837756849315068,0.07096149188665536,0.8272775705913692
lr,temperature,0,0.8642979452054794,0.06835066864784546,0.8261683268463849
lr,temperature,0,0.844820205479452,0.06409931593615405,0.8171667926758261
lr,temperature,0,0.825556506849315,0.05963183821623023,0.8057556083773844
lr,temperature,0,0.8060787671232876,0.05735528412108338,0.8010419934469658
lr,temperature,0,0.7868150684931506,0.05413492927094668,0.7985987714471322
lr,temperature,0,0.7673373287671232,0.05104602510460251,0.790851958113332
lr,temperature,0,0.7478595890410958,0.04779622209502003,0.7889548786097773
lr,temperature,0,0.728595890410959,0.04406580493537015,0.7816583968994544
lr,temperature,0,0.7091181506849316,0.041352248717174765,0.7803384065490604
lr,temperature,0,0.6898544520547946,0.040955631399317405,0.7812940872182337
lr,temperature,0,0.6703767123287672,0.03991060025542784,0.7838162811880175
lr,temperature,0,0.6511130136986302,0.03714661406969099,0.7829074289473995
lr,temperature,0,0.6316352739726028,0.03490342256862081,0.7750204112125594
lr,temperature,0,0.6121575342465754,0.033216783216783216,0.7747241086587435
lr,temperature,0,0.5928938356164384,0.03176895306859206,0.773608450012282
lr,temperature,0,0.573416095890411,0.029115341545352745,0.7636774106012181
lr,temperature,0,0.554152397260274,0.02742371572035535,0.763947386014173
lr,temperature,0,0.5346746575342466,0.026821457165732587,0.7653792912513844
lr,temperature,0,0.5154109589041096,0.025332225913621262,0.760470188536795
lr,temperature,0,0.4959332191780822,0.025463962019853258,0.7739271345552079
lr,temperature,0,0.4764554794520548,0.023809523809523808,0.7722006248051461
lr,temperature,0,0.4571917808219178,0.02294007490636704,0.775294402093526
lr,temperature,0,0.4377140410958904,0.021515892420537898,0.7772892540803742
lr,temperature,0,0.4184503424657534,0.019437340153452685,0.7693805010155721
lr,temperature,0,0.398972602739726,0.018240343347639486,0.7675827087591793
lr,temperature,0,0.3794948630136986,0.01692047377326565,0.7681886541258846
lr,temperature,0,0.3602311643835616,0.016042780748663103,0.7665484968803176
lr,temperature,0,0.3407534246575342,0.01193467336683417,0.7315717038260391
lr,temperature,0,0.3214897260273973,0.009986684420772303,0.6985733695652174
lr,temperature,0,0.3020119863013699,0.010630758327427357,0.7094617426985277
lr,temperature,0,0.2827482876712329,0.011355034065102196,0.712020924522259
lr,temperature,0,0.2632705479452055,0.012195121951219513,0.7267794079646271
lr,temperature,0,0.2437928082191781,0.012291483757682178,0.7334126269769834
lr,temperature,0,0.2245291095890411,0.01334604385128694,0.7312955861342958
lr,temperature,0,0.2050513698630137,0.014613778705636743,0.7437942122186496
lr,temperature,0,0.1857876712328767,0.014976958525345621,0.7584913112164298
lr,temperature,0,0.1663099315068493,0.014157014157014158,0.7396961690885073
lr,temperature,0,0.1468321917808219,0.016034985422740525,0.7724474474474474
lr,temperature,0,0.12756849315068494,0.016778523489932886,0.7911380238369857
lr,temperature,0,0.10809075342465753,0.015841584158415842,0.8052147239263804
lr,temperature,0,0.08882705479452055,0.016867469879518072,0.8145809414466131
lr,temperature,0,0.06934931506849315,0.015432098765432098,0.8480975893116468
lr,temperature,0,0.05008561643835616,0.008547008547008548,0.8805309734513275
lr,platt,0,1.0,0.1115154109589041,0.8581537482056685
lr,platt,0,0.9805222602739726,0.10368915084042786,0.8512564929273118
lr,platt,0,0.9612585616438356,0.09775105767089735,0.8481508829635738
lr,platt,0,0.9417808219178082,0.08931818181818182,0.8417272534013605
lr,platt,0,0.9225171232876712,0.082830626450116,0.8392881238341612
lr,platt,0,0.9030393835616438,0.07655842616733823,0.8347990798758547
lr,platt,0,0.8837756849315068,0.07096149188665536,0.8272775705913692
lr,platt,0,0.8642979452054794,0.06835066864784546,0.8261683268463849
lr,platt,0,0.844820205479452,0.06384595895616925,0.8157436542899097
lr,platt,0,0.825556506849315,0.05963183821623023,0.8041104994296484
lr,platt,0,0.8060787671232876,0.05735528412108338,0.8010419934469658
lr,platt,0,0.7868150684931506,0.05413492927094668,0.7985987714471322
lr,platt,0,0.7673373287671232,0.05104602510460251,0.790851958113332
lr,platt,0,0.7478595890410958,0.04779622209502003,0.7889548786097773
lr,platt,0,0.728595890410959,0.043478260869565216,0.7816583968994544
lr,platt,0,0.7091181506849316,0.041352248717174765,0.7760781125843575
lr,platt,0,0.6898544520547946,0.040955631399317405,0.7812940872182337
lr,platt,0,0.6703767123287672,0.03959131545338442,0.7838162811880175
lr,platt,0,0.6511130136986302,0.03714661406969099,0.7829050791300978
lr,platt,0,0.6316352739726028,0.03490342256862081,0.7750204112125594
lr,platt,0,0.6121575342465754,0.033216783216783216,0.7747241086587435
lr,platt,0,0.5928938356164384,0.03176895306859206,0.773608450012282
lr,platt,0,0.573416095890411,0.029115341545352745,0.7636774106012181
lr,platt,0,0.554152397260274,0.02742371572035535,0.763947386014173
lr,platt,0,0.5346746575342466,0.026821457165732587,0.7653792912513844
lr,platt,0,0.5154109589041096,0.025332225913621262,0.760470188536795
lr,platt,0,0.4959332191780822,0.025463962019853258,0.7739271345552079
lr,platt,0,0.4764554794520548,0.023809523809523808,0.7722006248051461
lr,platt,0,0.4571917808219178,0.02294007490636704,0.775294402093526
lr,platt,0,0.4377140410958904,0.021515892420537898,0.7734696533437443
lr,platt,0,0.4184503424657534,0.019437340153452685,0.7693805010155721
lr,platt,0,0.398972602739726,0.018240343347639486,0.7675827087591793
lr,platt,0,0.3794948630136986,0.01692047377326565,0.7681886541258846
lr,platt,0,0.3602311643835616,0.016042780748663103,0.7665484968803176
lr,platt,0,0.3407534246575342,0.01193467336683417,0.7235331873442574
lr,platt,0,0.3214897260273973,0.009986684420772303,0.6985733695652174
lr,platt,0,0.3020119863013699,0.010630758327427357,0.6993362942262588
lr,platt,0,0.2827482876712329,0.011355034065102196,0.712020924522259
lr,platt,0,0.2632705479452055,0.012195121951219513,0.7267794079646271
lr,platt,0,0.2437928082191781,0.012291483757682178,0.7334126269769834
lr,platt,0,0.2245291095890411,0.01334604385128694,0.7312955861342958
lr,platt,0,0.2050513698630137,0.014613778705636743,0.7437942122186496
lr,platt,0,0.1857876712328767,0.014976958525345621,0.7477231798302033
lr,platt,0,0.1663099315068493,0.014157014157014158,0.7396961690885073
lr,platt,0,0.1468321917808219,0.016034985422740525,0.7724474474474474
lr,platt,0,0.12756849315068494,0.016778523489932886,0.7911380238369857
lr,platt,0,0.10809075342465753,0.015841584158415842,0.7918367346938775
lr,platt,0,0.08882705479452055,0.016867469879518072,0.8145809414466131
lr,platt,0,0.06934931506849315,0.015432098765432098,0.8480975893116468
lr,platt,0,0.05008561643835616,0.008547008547008548,0.8805309734513275
lr,isotonic,0,1.0,0.11194349315068493,0.8580368019846766
lr,isotonic,0,0.9805222602739726,0.1039074437895656,0.8554384293172931
lr,isotonic,0,0.9612585616438356,0.09797372522823425,0.8473705782630364
lr,isotonic,0,0.9417808219178082,0.09,0.843073749240847
lr,isotonic,0,0.9225171232876712,0.08236658932714618,0.8378637626244971
lr,isotonic,0,0.9030393835616438,0.07703247214979853,0.8358602017431932
lr,isotonic,0,0.8837756849315068,0.07265681763138775,0.8354535831626412
lr,isotonic,0,0.8642979452054794,0.0676077265973254,0.8331381997006114
lr,isotonic,0,0.844820205479452,0.06283253103623004,0.8288370670781325
lr,isotonic,0,0.825556506849315,0.059372569354420535,0.7890427364793882
lr,isotonic,0,0.8060787671232876,0.055762081784386616,0.7858110449002218
lr,isotonic,0,0.7868150684931506,0.05304678998911861,0.7855691478332988
lr,isotonic,0,0.7673373287671232,0.048535564853556486,0.7784994708994709
lr,isotonic,0,0.7478595890410958,0.04579278763594734,0.7766457098303239
lr,isotonic,0,0.728595890410959,0.043478260869565216,0.7758759789359978
lr,isotonic,0,0.7091181506849316,0.04105040748566254,0.7568388009584766
lr,isotonic,0,0.6898544520547946,0.03940428172510084,0.7389840503586269
lr,isotonic,0,0.6703767123287672,0.037994891443167304,0.7416735535132875
lr,isotonic,0,0.6511130136986302,0.03550295857988166,0.736805677409292
lr,isotonic,0,0.6316352739726028,0.03490342256862081,0.7437704535528608
lr,isotonic,0,0.6121575342465754,0.033216783216783216,0.7275315395779837
lr,isotonic,0,0.5928938356164384,0.032490974729241874,0.7212021642892277
lr,isotonic,0,0.573416095890411,0.029115341545352745,0.6988058453938409
lr,isotonic,0,0.554152397260274,0.02742371572035535,0.6921877486077963
lr,isotonic,0,0.5346746575342466,0.025620496397117692,0.6838598402323892
lr,isotonic,0,0.5154109589041096,0.024916943521594685,0.6879599509385664
lr,isotonic,0,0.4959332191780822,0.025463962019853258,0.7072646864128674
lr,isotonic,0,0.4764554794520548,0.025157232704402517,0.7173822714681442
lr,isotonic,0,0.4571917808219178,0.023408239700374533,0.7124292880777031
lr,isotonic,0,0.4377140410958904,0.020537897310513448,0.6913456728364182
lr,isotonic,0,0.4184503424657534,0.019437340153452685,0.6887212804620019
lr,isotonic,0,0.398972602739726,0.017703862660944206,0.6758457965354517
lr,isotonic,0,0.3794948630136986,0.01692047377326565,0.6748638500828739
lr,isotonic,0,0.3602311643835616,0.016042780748663103,0.6719225962665001
lr,isotonic,0,0.3407534246575342,0.013190954773869347,0.6273005743458837
lr,isotonic,0,0.3214897260273973,0.011984021304926764,0.5992168304668304
lr,isotonic,0,0.3020119863013699,0.010630758327427357,0.5535201149425287
lr,isotonic,0,0.2827482876712329,0.011355034065102196,0.5681340447893928
lr,isotonic,0,0.2632705479452055,0.011382113821138212,0.570429959662633
lr,isotonic,0,0.2437928082191781,0.01141352063213345,0.572743000943693
lr,isotonic,0,0.2245291095890411,0.011439466158245948,0.5747519361084221
lr,isotonic,0,0.2050513698630137,0.012526096033402923,0.6000862526539278
lr,isotonic,0,0.1857876712328767,0.013824884792626729,0.6304650821596244
lr,isotonic,0,0.1663099315068493,0.014157014157014158,0.6428258967629046
lr,isotonic,0,0.1468321917808219,0.014577259475218658,0.65890731292517
lr,isotonic,0,0.12756849315068494,0.016778523489932886,0.694526264113893
lr,isotonic,0,0.10809075342465753,0.015841584158415842,0.7019945909398243
lr,isotonic,0,0.08882705479452055,0.016867469879518072,0.728060306030603
lr,isotonic,0,0.06934931506849315,0.018518518518518517,0.7507961783439491
lr,isotonic,0,0.05008561643835616,0.017094017094017096,0.8127765486725663
xgb,none,0,1.0,0.10573630136986302,0.8770312468409655
xgb,none,0,0.9805222602739726,0.099323291857673,0.8753210178871037
xgb,none,0,0.9612585616438356,0.09485637942551771,0.8729729422755292
xgb,none,0,0.9417808219178082,0.08727272727272728,0.8670302144234058
xgb,none,0,0.9225171232876712,0.08120649651972157,0.8657275329215063
xgb,none,0,0.9030393835616438,0.07608438018487794,0.8628454118873826
xgb,none,0,0.8837756849315068,0.07071930249455075,0.8595194766172878
xgb,none,0,0.8642979452054794,0.06562654779593859,0.8571359053752301
xgb,none,0,0.844820205479452,0.06181910311629085,0.8508669853743337
xgb,none,0,0.825556506849315,0.057557687321752656,0.8471467539552646
xgb,none,0,0.8060787671232876,0.05496548061603824,0.8466639606827856
xgb,none,0,0.7868150684931506,0.051686615886833515,0.8416878976146844
xgb,none,0,0.7673373287671232,0.04686192468619247,0.8324502854581552
xgb,none,0,0.7478595890410958,0.044075558099599316,0.8326908372626481
xgb,none,0,0.728595890410959,0.03936545240893067,0.8193879855465223
xgb,none,0,0.7091181506849316,0.038031995170540296,0.8235879346990458
xgb,none,0,0.6898544520547946,0.033198883028234566,0.8116909785807125
xgb,none,0,0.6703767123287672,0.030012771392081736,0.8068789095630072
xgb,none,0,0.6511130136986302,0.027942143326758713,0.8052074592504479
xgb,none,0,0.6316352739726028,0.025415113520840395,0.7955213631193802
xgb,none,0,0.6121575342465754,0.024475524475524476,0.7974275634080619
xgb,none,0,0.5928938356164384,0.022382671480144403,0.790022450862912
xgb,none,0,0.573416095890411,0.02127659574468085,0.7948975878035465
xgb,none,0,0.554152397260274,0.020084974893781384,0.78222174179368
xgb,none,0,0.5346746575342466,0.018414731785428344,0.7764087810369629
xgb,none,0,0.5154109589041096,0.0170265780730897,0.7709009333814045
xgb,none,0,0.4959332191780822,0.0146741476046612,0.7519366197183099
xgb,none,0,0.4764554794520548,0.014375561545372867,0.7609327893127656
xgb,none,0,0.4571917808219178,0.01451310861423221,0.771383666103964
xgb,none,0,0.4377140410958904,0.014669926650366748,0.7710643910843115
xgb,none,0,0.4184503424657534,0.01432225063938619,0.7840922619047619
xgb,none,0,0.398972602739726,0.013412017167381975,0.7786623046165031
xgb,none,0,0.3794948630136986,0.012972363226170333,0.7946786737617683
xgb,none,0,0.3602311643835616,0.012477718360071301,0.8032569360675513
xgb,none,0,0.3407534246575342,0.010678391959798994,0.7903625954198472
xgb,none,0,0.3214897260273973,0.008655126498002663,0.7787264468371468
xgb,none,0,0.3020119863013699,0.007795889440113395,0.7849473361284385
xgb,none,0,0.2827482876712329,0.008327024981074944,0.8242430866761394
xgb,none,0,0.2632705479452055,0.007317073170731708,0.8434592227695675
xgb,none,0,0.2437928082191781,0.006145741878841089,0.8651018600531444
xgb,none,0,0.2245291095890411,0.0038131553860819827,0.8586509459829997
xgb,none,0,0.2050513698630137,0.0020876826722338203,0.8459601259181533
xgb,none,0,0.1857876712328767,0.002304147465437788,0.8716106604866743
xgb,none,0,0.1663099315068493,0.001287001287001287,0.8521992238033635
xgb,none,0,0.1468321917808219,0.0014577259475218659,0.8208882381649585
xgb,none,0,0.12756849315068494,0.0016778523489932886,0.765993265993266
xgb,none,0,0.10809075342465753,0.0019801980198019802,0.626984126984127
xgb,none,0,0.08882705479452055,0.0024096385542168677,0.7632850241545894
xgb,none,0,0.06934931506849315,0.0030864197530864196,0.978328173374613
xgb,none,0,0.05008561643835616,0.0,
xgb,temperature,0,1.0,0.10573630136986302,0.8770312468409655
xgb,temperature,0,0.9805222602739726,0.099323291857673,0.8753210178871037
xgb,temperature,0,0.9612585616438356,0.09485637942551771,0.8729729422755292
xgb,temperature,0,0.9417808219178082,0.08727272727272728,0.8670302144234058
xgb,temperature,0,0.9225171232876712,0.08120649651972157,0.8657275329215063
xgb,temperature,0,0.9030393835616438,0.07608438018487794,0.8628454118873826
xgb,temperature,0,0.8837756849315068,0.07071930249455075,0.8595194766172878
xgb,temperature,0,0.8642979452054794,0.06562654779593859,0.8571359053752301
xgb,temperature,0,0.844820205479452,0.06181910311629085,0.8508669853743337
xgb,temperature,0,0.825556506849315,0.057557687321752656,0.8471467539552646
xgb,temperature,0,0.8060787671232876,0.05496548061603824,0.8466639606827856
xgb,temperature,0,0.7868150684931506,0.051686615886833515,0.8416878976146844
xgb,temperature,0,0.7673373287671232,0.04686192468619247,0.8324502854581552
xgb,temperature,0,0.7478595890410958,0.044075558099599316,0.8326908372626481
xgb,temperature,0,0.728595890410959,0.03936545240893067,0.8193879855465223
xgb,temperature,0,0.7091181506849316,0.038031995170540296,0.8235879346990458
xgb,temperature,0,0.6898544520547946,0.033198883028234566,0.8116909785807125
xgb,temperature,0,0.6703767123287672,0.030012771392081736,0.8068789095630072
xgb,temperature,0,0.6511130136986302,0.027942143326758713,0.8052074592504479
xgb,temperature,0,0.6316352739726028,0.025415113520840395,0.7955213631193802
xgb,temperature,0,0.6121575342465754,0.024475524475524476,0.7974275634080619
xgb,temperature,0,0.5928938356164384,0.022382671480144403,0.790022450862912
xgb,temperature,0,0.573416095890411,0.02127659574468085,0.7948975878035465
xgb,temperature,0,0.554152397260274,0.020084974893781384,0.78222174179368
xgb,temperature,0,0.5346746575342466,0.018414731785428344,0.7764087810369629
xgb,temperature,0,0.5154109589041096,0.0170265780730897,0.7709009333814045
xgb,temperature,0,0.4959332191780822,0.0146741476046612,0.7519366197183099
xgb,temperature,0,0.4764554794520548,0.014375561545372867,0.7609327893127656
xgb,temperature,0,0.4571917808219178,0.01451310861423221,0.771383666103964
xgb,temperature,0,0.4377140410958904,0.014669926650366748,0.7710643910843115
xgb,temperature,0,0.4184503424657534,0.01432225063938619,0.7840922619047619
xgb,temperature,0,0.398972602739726,0.013412017167381975,0.7786623046165031
xgb,temperature,0,0.3794948630136986,0.012972363226170333,0.7946786737617683
xgb,temperature,0,0.3602311643835616,0.012477718360071301,0.8032569360675513
xgb,temperature,0,0.3407534246575342,0.010678391959798994,0.7903625954198472
xgb,temperature,0,0.3214897260273973,0.008655126498002663,0.7787264468371468
xgb,temperature,0,0.3020119863013699,0.007795889440113395,0.7849473361284385
xgb,temperature,0,0.2827482876712329,0.008327024981074944,0.8242430866761394
