group,n,deferral_rate,global_deferral_rate,disparity_ratio,group_var,model,recal,seed
Medicaid,681,0.08076358296622614,0.10017123287671233,0.8062552555944626,insurance_group,mlp,none,0
Medicare,2554,0.11550509005481598,0.10017123287671233,1.1530764545643168,insurance_group,mlp,none,0
Other,1437,0.08211551844119694,0.10017123287671233,0.8197515003360515,insurance_group,mlp,none,0
18-44,585,0.0547008547008547,0.10017123287671233,0.5460734896632332,age_band,mlp,temperature,0
45-64,1601,0.10306058713304185,0.10017123287671233,1.0288441518922469,age_band,mlp,temperature,0
65-79,1570,0.09617834394904459,0.10017123287671233,0.9601393652349067,age_band,mlp,temperature,0
80+,916,0.13100436681222707,0.10017123287671233,1.3078042772365917,age_band,mlp,temperature,0
F,2002,0.1038961038961039,0.10017123287671233,1.0371850371850373,sex,mlp,temperature,0
M,2670,0.09737827715355805,0.10017123287671233,0.9721181856013317,sex,mlp,temperature,0
Asian,157,0.06369426751592357,0.10017123287671233,0.6358538842615276,ethnicity_group,mlp,temperature,0
Black,413,0.09927360774818401,0.10017123287671233,0.9910390927340079,ethnicity_group,mlp,temperature,0
Hispanic,178,0.028089887640449437,0.10017123287671233,0.2804187073849995,ethnicity_group,mlp,temperature,0
Other,944,0.11334745762711865,0.10017123287671233,1.1315370128929452,ethnicity_group,mlp,temperature,0
White,2980,0.10234899328859061,0.10017123287671233,1.0217403774450755,ethnicity_group,mlp,temperature,0
Medicaid,681,0.08076358296622614,0.10017123287671233,0.8062552555944626,insurance_group,mlp,temperature,0
Medicare,2554,0.11550509005481598,0.10017123287671233,1.1530764545643168,insurance_group,mlp,temperature,0
Other,1437,0.08211551844119694,0.10017123287671233,0.8197515003360515,insurance_group,mlp,temperature,0
18-44,637,0.11616954474097331,0.10017123287671233,1.1597096432261267,age_band,lr,none,1
45-64,1630,0.09202453987730061,0.10017123287671233,0.9186723297152745,age_band,lr,none,1
65-79,1554,0.09009009009009009,0.10017123287671233,0.8993608993608994,age_band,lr,none,1
80+,851,0.12220916568742655,0.10017123287671233,1.220002611306959,age_band,lr,none,1
F,2041,0.09946104850563449,0.10017123287671233,0.9929102961930008,sex,lr,none,1
M,2631,0.10072215887495249,0.10017123287671233,1.0054998424439703,sex,lr,none,1
Asian,128,0.0859375,0.10017123287671233,0.857905982905983,ethnicity_group,lr,none,1
Black,413,0.1016949152542373,0.10017123287671233,1.0152107779226425,ethnicity_group,lr,none,1
Hispanic,176,0.07386363636363637,0.10017123287671233,0.7373737373737375,ethnicity_group,lr,none,1
Other,975,0.13435897435897437,0.10017123287671233,1.3412930089853168,ethnicity_group,lr,none,1
White,2980,0.09093959731543624,0.10017123287671233,0.9078414501233294,ethnicity_group,lr,none,1
Medicaid,690,0.11014492753623188,0.10017123287671233,1.0995664560881953,insurance_group,lr,none,1
Medicare,2496,0.10857371794871795,0.10017123287671233,1.0838812184966031,insurance_group,lr,none,1
Other,1486,0.08142664872139974,0.10017123287671233,0.8128745786888453,insurance_group,lr,none,1
18-44,637,0.11616954474097331,0.10017123287671233,1.1597096432261267,age_band,lr,temperature,1
45-64,1630,0.09202453987730061,0.10017123287671233,0.9186723297152745,age_band,lr,temperature,1
